Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;30;30;4.000;Awful;NoScaling
2;10;=AVERAGE($B$2:$B$3);4.000;Awful;NoScaling
3;20;=AVERAGE($B$3:$B$4);4.000;Awful;NoScaling
4;30;=AVERAGE($B$4:$B$5);4.000;Awful;NoScaling
5;10;=AVERAGE($B$5:$B$6);4.000;Awful;NoScaling
6;10;=AVERAGE($B$6:$B$7);4.000;Awful;NoScaling
7;20;=AVERAGE($B$7:$B$8);4.000;Awful;NoScaling
8;30;=AVERAGE($B$8:$B$9);4.000;Awful;NoScaling
9;20;=AVERAGE($B$9:$B$10);4.000;Awful;NoScaling
10;20;=AVERAGE($B$10:$B$11);4.000;Awful;NoScaling
11;10;=AVERAGE($B$11:$B$12);4.000;Awful;NoScaling
12;0;=AVERAGE($B$12:$B$13);4.000;Awful;NoScaling
13;20;=AVERAGE($B$13:$B$14);4.000;Awful;NoScaling
14;30;=AVERAGE($B$14:$B$15);4.000;Awful;NoScaling
15;10;=AVERAGE($B$15:$B$16);4.000;Awful;NoScaling
16;10;=AVERAGE($B$16:$B$17);4.000;Awful;NoScaling
17;30;=AVERAGE($B$17:$B$18);4.000;Awful;NoScaling
18;30;=AVERAGE($B$18:$B$19);4.000;Awful;NoScaling
19;20;=AVERAGE($B$19:$B$20);4.000;Awful;NoScaling
20;20;=AVERAGE($B$20:$B$21);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;10;10;4.000;Awful;NoScaling
2;20;=AVERAGE($B$23:$B$24);4.000;Awful;NoScaling
3;10;=AVERAGE($B$24:$B$25);4.000;Awful;NoScaling
4;10;=AVERAGE($B$25:$B$26);4.000;Awful;NoScaling
5;10;=AVERAGE($B$26:$B$27);4.000;Awful;NoScaling
6;20;=AVERAGE($B$27:$B$28);4.000;Awful;NoScaling
7;30;=AVERAGE($B$28:$B$29);4.000;Awful;NoScaling
8;10;=AVERAGE($B$29:$B$30);4.000;Awful;NoScaling
9;10;=AVERAGE($B$30:$B$31);4.000;Awful;NoScaling
10;20;=AVERAGE($B$31:$B$32);4.000;Awful;NoScaling
11;40;=AVERAGE($B$32:$B$33);4.000;Awful;NoScaling
12;30;=AVERAGE($B$33:$B$34);4.000;Awful;NoScaling
13;30;=AVERAGE($B$34:$B$35);4.000;Awful;NoScaling
14;10;=AVERAGE($B$35:$B$36);4.000;Awful;NoScaling
15;50;=AVERAGE($B$36:$B$37);4.000;Awful;NoScaling
16;20;=AVERAGE($B$37:$B$38);4.000;Awful;NoScaling
17;30;=AVERAGE($B$38:$B$39);4.000;Awful;NoScaling
18;20;=AVERAGE($B$39:$B$40);4.000;Awful;NoScaling
19;20;=AVERAGE($B$40:$B$41);4.000;Awful;NoScaling
20;20;=AVERAGE($B$41:$B$42);4.000;Awful;NoScaling
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;Formula
1;20;20;4.000;Awful;NoScaling
2;20;=AVERAGE($B$44:$B$45);4.000;Awful;NoScaling
