Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;Awful;Low;Average;High;Expert
1;20;20;5.280;Awful;;14;48;90;122;178
2;40;30;6.230;Awful;;18;52;89;124;176
3;40;40;7.352;Awful;;27;57;92;125;160
4;30;35;9.153;Awful;;33;59;97;120;136
5;30;30;11.396;Awful;;36;62;98;122;118
6;50;40;12.820;Awful;;46;67;97;126;105
7;50;50;14.423;Awful;;52;72;96;121;113
8;40;45;17.019;Awful;;49;76;98;122;116
9;50;45;19.146;Awful;;49;73;98;123;107
10;40;45;20.000;Awful;;49;72;96;127;106
11;60;50;20.000;Awful;;51;75;98;128;107
12;50;55;20.000;Awful;;50;75;99;129;106
13;60;55;20.000;Awful;;46;79;99;128;104
14;40;50;20.000;Awful;;46;79;97;115;108
15;50;45;20.000;Awful;;49;74;95;110;104
16;50;50;20.000;Awful;;54;74;98;112;99
17;60;55;20.000;Awful;;53;76;97;114;100
18;40;50;20.000;Awful;;48;77;96;111;101
19;50;45;20.000;Awful;;48;82;99;111;102
20;60;55;20.000;Awful;;46;83;99;111;101
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;50;50;4.500;Low;;;;;;
2;60;55;4.860;Low;;;;;;
3;70;65;5.079;Low;;;;;;
4;60;65;5.485;Low;;;;;;
5;50;55;6.171;Low;;;;;;
6;50;50;6.942;Low;;;;;;
7;70;60;7.254;Low;;;;;;
8;80;75;7.399;Low;;;;;;
9;60;70;7.991;Low;;;;;;
10;80;70;8.151;Low;;;;;;
11;90;85;8.233;Low;;;;;;
12;70;80;8.603;Low;;;;;;
13;70;70;8.990;Low;;;;;;
14;60;65;9.710;Low;;;;;;
15;80;70;9.904;Low;;;;;;
16;80;80;10.102;Low;;;;;;
17;70;75;10.556;Low;;;;;;
18;80;75;10.768;Low;;;;;;
19;80;80;10.983;Low;;;;;;
20;80;80;11.203;Low;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;100;100;4.000;Average;;;;;;
2;80;90;4.080;Average;;;;;;
3;100;90;4.080;Average;;;;;;
4;110;105;4.039;Average;;;;;;
5;90;100;4.080;Average;;;;;;
6;100;95;4.080;Average;;;;;;
7;90;95;4.120;Average;;;;;;
8;100;95;4.120;Average;;;;;;
9;90;95;4.162;Average;;;;;;
10;90;90;4.203;Average;;;;;;
11;100;95;4.203;Average;;;;;;
12;90;95;4.245;Average;;;;;;
13;100;95;4.245;Average;;;;;;
14;80;90;4.330;Average;;;;;;
15;100;90;4.330;Average;;;;;;
16;110;105;4.287;Average;;;;;;
17;110;110;4.244;Average;;;;;;
18;110;110;4.202;Average;;;;;;
19;90;100;4.244;Average;;;;;;
20;120;105;4.159;Average;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;100;100;4.000;High;;;;;;
2;120;110;3.920;High;;;;;;
3;120;120;3.842;High;;;;;;
4;120;120;3.765;High;;;;;;
5;130;125;3.595;High;;;;;;
6;110;120;3.559;High;;;;;;
7;130;120;3.399;High;;;;;;
8;130;130;3.246;High;;;;;;
9;100;115;3.246;High;;;;;;
10;120;110;3.181;High;;;;;;
11;130;125;3.038;High;;;;;;
12;150;140;2.658;High;;;;;;
13;160;155;2.180;High;;;;;;
14;120;140;2.136;High;;;;;;
15;120;120;2.094;High;;;;;;
16;100;110;2.094;High;;;;;;
17;100;100;2.094;High;;;;;;
18;120;110;2.052;High;;;;;;
19;110;115;2.031;High;;;;;;
20;120;115;1.991;High;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;190;190;2.380;Expert;;;;;;
2;170;180;1.797;Expert;;;;;;
3;160;165;1.473;Expert;;;;;;
4;100;130;1.473;Expert;;;;;;
5;140;120;1.356;Expert;;;;;;
6;100;120;1.356;Expert;;;;;;
7;100;100;1.356;Expert;;;;;;
8;100;100;1.356;Expert;;;;;;
9;100;100;1.356;Expert;;;;;;
10;90;95;1.369;Expert;;;;;;
11;100;95;1.369;Expert;;;;;;
12;100;100;1.369;Expert;;;;;;
13;100;100;1.369;Expert;;;;;;
14;100;100;1.369;Expert;;;;;;
15;100;100;1.369;Expert;;;;;;
16;100;100;1.369;Expert;;;;;;
17;100;100;1.369;Expert;;;;;;
18;110;105;1.355;Expert;;;;;;
19;100;105;1.355;Expert;;;;;;
20;110;105;1.342;Expert;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;20;20;5.280;Awful;;;;;;
2;30;25;6.574;Awful;;;;;;
3;40;35;7.757;Awful;;;;;;
4;40;40;9.153;Awful;;;;;;
5;20;30;12.082;Awful;;;;;;
6;50;35;13.592;Awful;;;;;;
7;40;45;16.039;Awful;;;;;;
8;50;45;18.044;Awful;;;;;;
9;60;55;19.487;Awful;;;;;;
10;50;55;20.000;Awful;;;;;;
11;50;50;20.000;Awful;;;;;;
12;50;50;20.000;Awful;;;;;;
13;50;50;20.000;Awful;;;;;;
14;50;50;20.000;Awful;;;;;;
15;60;55;20.000;Awful;;;;;;
16;50;55;20.000;Awful;;;;;;
17;50;50;20.000;Awful;;;;;;
18;50;50;20.000;Awful;;;;;;
19;40;45;20.000;Awful;;;;;;
20;30;35;20.000;Awful;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;30;30;4.980;Low;;;;;;
2;50;40;5.603;Low;;;;;;
3;60;55;6.051;Low;;;;;;
4;80;70;6.172;Low;;;;;;
5;60;70;6.665;Low;;;;;;
6;90;75;6.732;Low;;;;;;
7;80;85;6.867;Low;;;;;;
8;70;75;7.176;Low;;;;;;
9;70;70;7.499;Low;;;;;;
10;80;75;7.649;Low;;;;;;
11;50;65;8.605;Low;;;;;;
12;80;65;8.777;Low;;;;;;
13;80;80;8.952;Low;;;;;;
14;70;75;9.355;Low;;;;;;
15;70;70;9.776;Low;;;;;;
16;70;70;10.216;Low;;;;;;
17;70;70;10.676;Low;;;;;;
18;90;80;10.783;Low;;;;;;
19;90;90;10.890;Low;;;;;;
20;80;85;11.108;Low;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;80;80;4.080;Average;;;;;;
2;100;90;4.080;Average;;;;;;
3;90;95;4.121;Average;;;;;;
4;90;90;4.162;Average;;;;;;
5;110;100;4.120;Average;;;;;;
6;90;100;4.162;Average;;;;;;
7;100;95;4.162;Average;;;;;;
8;110;105;4.120;Average;;;;;;
9;100;105;4.120;Average;;;;;;
10;80;90;4.202;Average;;;;;;
11;100;90;4.202;Average;;;;;;
12;110;105;4.160;Average;;;;;;
13;90;100;4.202;Average;;;;;;
14;90;90;4.244;Average;;;;;;
15;90;90;4.286;Average;;;;;;
16;100;95;4.286;Average;;;;;;
17;100;100;4.286;Average;;;;;;
18;90;95;4.329;Average;;;;;;
19;110;100;4.286;Average;;;;;;
20;100;105;4.286;Average;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;120;120;3.920;High;;;;;;
2;120;120;3.842;High;;;;;;
3;120;120;3.765;High;;;;;;
4;110;115;3.727;High;;;;;;
5;120;115;3.653;High;;;;;;
6;140;130;3.360;High;;;;;;
7;140;140;3.092;High;;;;;;
8;140;140;2.844;High;;;;;;
9;120;130;2.787;High;;;;;;
10;130;125;2.662;High;;;;;;
11;110;120;2.635;High;;;;;;
12;130;120;2.517;High;;;;;;
13;110;120;2.492;High;;;;;;
14;110;110;2.467;High;;;;;;
15;100;105;2.467;High;;;;;;
16;120;110;2.417;High;;;;;;
17;120;120;2.369;High;;;;;;
18;110;115;2.345;High;;;;;;
19;120;115;2.298;High;;;;;;
20;100;110;2.298;High;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;190;190;2.380;Expert;;;;;;
2;180;185;1.618;Expert;;;;;;
3;140;160;1.489;Expert;;;;;;
4;120;130;1.459;Expert;;;;;;
5;100;110;1.459;Expert;;;;;;
6;100;100;1.459;Expert;;;;;;
7;120;110;1.430;Expert;;;;;;
8;110;115;1.416;Expert;;;;;;
9;120;115;1.387;Expert;;;;;;
10;100;110;1.387;Expert;;;;;;
11;110;105;1.373;Expert;;;;;;
12;100;105;1.373;Expert;;;;;;
13;120;110;1.346;Expert;;;;;;
14;100;110;1.346;Expert;;;;;;
15;100;100;1.346;Expert;;;;;;
16;100;100;1.346;Expert;;;;;;
17;100;100;1.346;Expert;;;;;;
18;100;100;1.346;Expert;;;;;;
19;100;100;1.346;Expert;;;;;;
20;90;95;1.359;Expert;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;20;20;5.280;Awful;;;;;;
2;0;10;7.920;Awful;;;;;;
3;30;15;9.860;Awful;;;;;;
4;30;30;12.276;Awful;;;;;;
5;50;40;13.811;Awful;;;;;;
6;60;55;14.916;Awful;;;;;;
7;40;50;17.600;Awful;;;;;;
8;60;50;19.008;Awful;;;;;;
9;40;50;20.000;Awful;;;;;;
10;60;50;20.000;Awful;;;;;;
11;60;60;20.000;Awful;;;;;;
12;30;45;20.000;Awful;;;;;;
13;50;40;20.000;Awful;;;;;;
14;40;45;20.000;Awful;;;;;;
15;60;50;20.000;Awful;;;;;;
16;60;60;20.000;Awful;;;;;;
17;50;55;20.000;Awful;;;;;;
18;40;45;20.000;Awful;;;;;;
19;50;45;20.000;Awful;;;;;;
20;50;50;20.000;Awful;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;50;50;4.500;Low;;;;;;
2;60;55;4.860;Low;;;;;;
3;50;55;5.468;Low;;;;;;
4;50;50;6.151;Low;;;;;;
5;70;60;6.428;Low;;;;;;
6;70;70;6.717;Low;;;;;;
7;60;65;7.254;Low;;;;;;
8;80;70;7.399;Low;;;;;;
9;70;75;7.732;Low;;;;;;
10;70;70;8.080;Low;;;;;;
11;90;80;8.161;Low;;;;;;
12;80;85;8.324;Low;;;;;;
13;90;85;8.408;Low;;;;;;
14;80;85;8.576;Low;;;;;;
15;70;75;8.962;Low;;;;;;
16;80;75;9.141;Low;;;;;;
17;100;90;9.141;Low;;;;;;
18;70;85;9.552;Low;;;;;;
19;80;75;9.743;Low;;;;;;
20;80;80;9.938;Low;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;90;90;4.040;Average;;;;;;
2;90;90;4.080;Average;;;;;;
3;90;90;4.121;Average;;;;;;
4;110;100;4.080;Average;;;;;;
5;110;110;4.039;Average;;;;;;
6;90;100;4.080;Average;;;;;;
7;110;100;4.039;Average;;;;;;
8;100;105;4.039;Average;;;;;;
9;80;90;4.120;Average;;;;;;
10;110;95;4.078;Average;;;;;;
11;100;105;4.078;Average;;;;;;
12;90;95;4.119;Average;;;;;;
13;100;95;4.119;Average;;;;;;
14;100;100;4.119;Average;;;;;;
15;90;95;4.160;Average;;;;;;
16;80;85;4.244;Average;;;;;;
17;90;85;4.286;Average;;;;;;
18;100;95;4.286;Average;;;;;;
19;100;100;4.286;Average;;;;;;
20;90;95;4.329;Average;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;130;130;3.820;High;;;;;;
2;150;140;3.343;High;;;;;;
3;120;135;3.276;High;;;;;;
4;120;120;3.210;High;;;;;;
5;110;115;3.178;High;;;;;;
6;130;120;3.035;High;;;;;;
7;100;115;3.035;High;;;;;;
8;110;105;3.005;High;;;;;;
9;130;120;2.869;High;;;;;;
10;130;130;2.740;High;;;;;;
11;120;125;2.686;High;;;;;;
12;130;125;2.565;High;;;;;;
13;110;120;2.539;High;;;;;;
14;90;100;2.564;High;;;;;;
15;100;95;2.564;High;;;;;;
16;100;100;2.564;High;;;;;;
17;130;115;2.449;High;;;;;;
18;110;120;2.425;High;;;;;;
19;100;105;2.425;High;;;;;;
20;100;100;2.425;High;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;170;170;3.020;Expert;;;;;;
2;190;180;1.797;Expert;;;;;;
3;130;160;1.716;Expert;;;;;;
4;110;120;1.699;Expert;;;;;;
5;110;110;1.682;Expert;;;;;;
6;100;105;1.682;Expert;;;;;;
7;130;115;1.606;Expert;;;;;;
8;110;120;1.590;Expert;;;;;;
9;110;110;1.574;Expert;;;;;;
10;110;110;1.558;Expert;;;;;;
11;120;115;1.527;Expert;;;;;;
12;110;115;1.512;Expert;;;;;;
13;110;110;1.497;Expert;;;;;;
14;150;130;1.310;Expert;;;;;;
15;100;125;1.310;Expert;;;;;;
16;100;100;1.310;Expert;;;;;;
17;100;100;1.310;Expert;;;;;;
18;100;100;1.310;Expert;;;;;;
19;100;100;1.310;Expert;;;;;;
20;100;100;1.310;Expert;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;0;0;6.000;Awful;;;;;;
2;30;15;7.470;Awful;;;;;;
3;30;30;9.300;Awful;;;;;;
4;40;35;10.974;Awful;;;;;;
5;40;40;12.950;Awful;;;;;;
6;70;55;13.532;Awful;;;;;;
7;60;65;14.615;Awful;;;;;;
8;50;55;16.442;Awful;;;;;;
9;50;50;18.497;Awful;;;;;;
10;50;50;20.000;Awful;;;;;;
11;60;55;20.000;Awful;;;;;;
12;50;55;20.000;Awful;;;;;;
13;30;40;20.000;Awful;;;;;;
14;50;40;20.000;Awful;;;;;;
15;50;50;20.000;Awful;;;;;;
16;60;55;20.000;Awful;;;;;;
17;50;55;20.000;Awful;;;;;;
18;40;45;20.000;Awful;;;;;;
19;50;45;20.000;Awful;;;;;;
20;40;45;20.000;Awful;;;;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;;;;
1;70;70;4.180;Low;;;;;;
2;50;60;4.703;Low;;;;;;
3;50;50;5.290;Low;;;;;;
4;40;45;6.243;Low;;;;;;
5;80;60;6.367;Low;;;;;;
6;80;80;6.495;Low;;;;;;
7;80;80;6.625;Low;;;;;;
8;90;85;6.691;Low;;;;;;
9;60;75;7.226;Low;;;;;;
10;80;70;7.371;Low;;;;;;
11;60;70;7.960;Low;;;;;;
12;80;70;8.120;Low;;;;;;
13;90;85;8.201;Low;;;;;;
14;90;90;8.283;Low;;;;;;
15;80;85;8.448;Low;;;;;;
16;70;75;8.829;Low;;;;;;
